1,"[15726.706233033474, 16224.8604851438, 15964.70721150907, 15914.292496949754, 16207.985705144383, 16283.062300089194, 16440.922615429226, 16619.721601061567, 16518.6269007674, 16500.7380169697, 16666.912353629574, 16843.318302823456, 16639.843224334778, 16558.58780777976, 16534.817552600434, 16844.524906602186, 16561.240260490318, 16498.47133577792, 16518.82211365846, 16498.52672923104, 16496.83935998503, 16587.162376160086, 17764.665418030527, 16499.90782877274, 16530.78506314922, 16794.601455838594, 16810.733687804182, 16770.982338084446, 16632.283145563895, 16803.902218807234, 16635.91821815043, 16609.12188836233, 16653.5222774715, 16567.84548071251, 17990.940769656467, 16900.23001012455, 17655.63817719077, 16563.03434675283, 16492.32626658464, 16747.346213656194, 16668.476015072112, 16636.892904107008, 18293.328616781153, 17613.150974452758, 17264.827326473976, 17559.81278631661, 17181.9462477867, 16920.566205979783, 16666.337955666575, 16518.8183096632]"
2,"[17998.890472797008, 17047.485797388, 17127.881803390803, 18422.566016148252, 17912.458167945093, 18234.735384556436, 17703.52538654003, 17757.080675167585, 17845.91953514199, 17944.68565763568, 18083.91111548028, 17934.005227308095, 18062.648697716664, 18267.36922249061, 17921.1645832114, 17815.763448644168, 17809.38255974157, 18115.822848751443, 18087.225890887523, 18040.853624711774, 17804.88224626094, 17703.294458925637, 18096.717307878367, 18093.68584854927, 17914.54531044638, 18099.113190662072, 18307.97765145934, 18339.071242012913, 17868.25565199992, 18052.74177395807, 18307.169907310847, 18037.92960000901, 18241.126497855294, 17947.154526444385, 17892.497579785384, 18331.53090311344, 18265.95664028701, 17858.63169287797, 17583.737429302477, 18263.601309678663, 18060.778165394906, 18284.22435131682, 18163.354988466366, 18097.946260360957, 17922.622415001082, 17933.497048075194, 18252.440163652966, 17675.28820118736, 17962.124818363547, 17871.938528203595]"
3,"[15783.398641188513, 19121.95610488992, 18989.922052419293, 19383.75414137097, 19367.01957192758, 19274.05970032791, 19424.82508476272, 19386.370933086495, 19423.390912361167, 19345.757142434217, 19338.190692522272, 19387.50586497107, 19367.586574622197, 19419.832389347386, 19330.82332725654, 19304.918378824543, 19272.016500846003, 19325.081285005188, 19354.12879482482, 19346.72074744488, 19300.298057170046, 19322.92214175804, 19401.83638503494, 19374.959640159796, 19268.573985292795, 19366.075183873734, 19304.244345759595, 19404.676950908703, 19360.921195180854, 19325.697025933914, 19348.516296918548, 19324.402204588812, 19275.75109321192, 19323.43601743577, 19342.2046759777, 19426.45701952018, 19380.409975015835, 19371.705319347573, 19407.978112860088, 19350.52823761785, 19403.39561518305, 19386.00798275486, 19347.148303810827, 19363.63214173641, 19329.593759514813, 19429.065545183184, 19334.342911397005, 19298.535555994516, 19288.244838717364, 19426.81500353529]"
4,"[18295.439765126925, 24304.355307382342, 23904.101012466024, 24349.21923985167, 24423.634712989275, 24411.22600543274, 24415.159485683012, 24407.669090614705, 24346.914745554554, 24410.703192011206, 24414.247286649166, 24390.358205652927, 24357.328874704755, 24402.039581246157, 24428.213267862637, 24331.81265348127, 24402.798623087445, 24391.072207205827, 24408.552409664357, 24401.888359313838, 24429.862505043835, 24424.924027554327, 24419.081251978656, 24415.741016570646, 24377.488155613857, 24394.584125396446, 24381.347436948483, 24344.18962858287, 24430.1206354268, 24336.84550453641, 24429.46976107367, 24312.570014748184, 24404.508999053796, 24432.559783555982, 24417.980386042684, 24366.849082220455, 24397.07462116643, 24405.648458373485, 24317.95611107398, 24423.137111172997, 24310.599248072074, 24400.64921706781, 24354.465587726503, 24412.050887159217, 24398.52205455247, 24314.878465511196, 24323.96535931064, 24290.525732463087, 24399.9882943283, 24371.957528426166]"
5,"[57819.496875861136, 95110.09063153731, 89853.54508644005, 95315.95210205368, 95253.2557075051, 95419.33468301344, 94942.44034049526, 95561.36226740963, 95205.81156177091, 95447.88797735487, 95406.25018778373, 95502.78330010176, 95453.11689693556, 95320.25666943076, 95308.56881379959, 95272.82059882913, 95518.06992121582, 95423.69279240642, 95422.19886967022, 95260.2022663522, 95209.34405604505, 95430.07188699272, 95554.54552026762, 95306.90833493508, 95378.85088533489, 95323.7520527048, 95581.147364748, 95469.67508926138, 95300.30849177018, 95133.45074223477, 95415.94071191899, 95280.03431351029, 95259.73957707634, 95138.65100234735, 94979.7151587425, 94782.19851311785, 94948.21466421295, 95259.84131068451, 94991.5576726317, 95441.42692613689, 95195.34930497658, 95122.80316749169, 95273.69830757321, 95296.7348366999, 95005.13296376867, 95335.69679745618, 95231.52927464311, 95349.13514124951, 95198.67496346752, 95235.18768034398]"
6,"[12882.816682287135, 16966.341564394563, 16999.198491445488, 17030.878743452937, 17936.614554112377, 17178.374487999856, 18330.351637114632, 17772.472341717228, 17482.383220275522, 17241.31646296101, 17183.03262406293, 17139.53736083246, 17444.165424598803, 17142.2403825367, 17114.273316994855, 17093.147435339655, 17143.874711409553, 17210.57683378899, 17066.08155331346, 17111.450817625242, 17212.232303675228, 17279.453239018447, 17248.77504615424, 17193.463037689136, 17168.86207709001, 17262.60500274755, 17307.491096093385, 17823.36634386066, 17272.31425294261, 17172.399478948122, 17169.71529648047, 17158.13437781069, 17415.464592159762, 17231.729582192405, 17210.205937712366, 17182.391531089226, 17125.42065900771, 18702.79592223055, 17186.983504265343, 17183.01418447531, 17312.174873511052, 17194.410408757387, 17267.750487122685, 17157.17287120464, 17592.145158995212, 17324.251064249693, 17156.4821441495, 18015.637871505627, 18829.49915263035, 17711.87287781405]"
7,"[6743.434042180161, 6713.079863323306, 7616.742014987394, 8318.29419402247, 8469.780559774517, 10158.090271089852, 9138.545880516409, 8432.024442618116, 8690.03390832452, 8429.188342243724, 9537.033368485892, 8536.892666757543, 9862.021319753097, 9353.837060369478, 9920.45845954708, 9708.22394426771, 9636.625660358623, 9815.021451526685, 9873.406179614612, 9644.774816296514, 9860.330653286801, 9666.29105797474, 9652.475341267535, 9594.837130580345, 9632.678072948023, 9815.055565310511, 9704.733347063768, 9597.022669706043, 9794.661154578615, 9881.798009861814, 9845.35171198759, 9689.138111137014, 9920.02268597536, 9833.262363579008, 9669.123837764011, 9654.797665444072, 9868.053344034372, 9597.849906049072, 9858.555437799296, 9759.669711842842, 9750.670686577258, 9689.411296198494, 9817.06772692679, 9768.146885466456, 9736.509641339813, 9665.968322072353, 9588.022607167688, 9534.222533023523, 9372.455926993658, 9870.916093014777]"
8,"[39130.48056018479, 39428.98300350951, 39088.94146341334, 40169.98562039569, 39763.3560714544, 40688.567984708134, 39080.27222345458, 39602.821156818274, 39285.65105217049, 39496.51884347429, 39377.356182492484, 39876.006002966795, 40789.721508137576, 40022.74597864167, 39853.63714463326, 39935.21366081601, 40006.113302928294, 39700.03171550768, 39875.25195871263, 40106.87610651653, 40011.047293520445, 39957.31798930935, 39954.61920199529, 39940.44776812765, 39842.43783761254, 39846.02455573392, 39758.021832490354, 39662.43608167172, 40049.80147970856, 39645.62135884102, 40124.27579565965, 39943.124760662206, 39835.292460851735, 39680.28251291269, 39761.47636919787, 39576.454276599936, 39684.62477481988, 39913.81676100024, 39580.62363186547, 39781.95933828446, 39862.166622217555, 39932.0879477211, 39911.72048487753, 39985.394796222434, 40192.535271044995, 40101.8248013398, 39942.042781386175, 39816.40316075762, 40125.71904958942, 39899.697782059186]"
9,"[24026.437186201765, 24022.98677240521, 24463.148518750386, 25858.694098756503, 26052.62130519469, 26393.702298587305, 26140.165689378307, 26339.429652237093, 26231.772868122614, 26309.081574867574, 26267.62488436749, 26314.938459361132, 26412.587815329338, 26442.13704022613, 26357.81414890301, 26448.458882445884, 26396.061079669817, 26465.18667377632, 26423.62081919636, 26391.583655608047, 26431.696176350495, 26419.96199777496, 26430.598323027312, 26396.140771267354, 26459.555654700358, 26458.61822807211, 26363.37171867439, 26462.84227685613, 26418.42908524228, 26413.54440401928, 26353.89256739593, 26340.031902652285, 26319.65999301462, 26450.59311864413, 26396.3822701522, 26419.39980528844, 26361.771009908625, 26337.49267378387, 26350.93736273644, 26394.08167309034, 26458.035449284376, 26450.272121181333, 26432.71019698109, 26426.258483733218, 26461.644662500556, 26423.260334432474, 26445.31936389199, 26435.370721047715, 26432.74325431732, 26407.931807424204]"
10,"[52267.534609547874, 51704.148358535196, 83035.90620809348, 82731.03533241179, 83647.22343950954, 83408.18715861472, 83670.83819292835, 83304.38682565896, 83162.73183034122, 83198.94761555738, 82992.1886430255, 82898.3888413175, 82870.70036680056, 84203.28062938337, 82861.97850760704, 82823.48371491086, 83596.02267584426, 83060.30893379691, 83010.68875786883, 82872.1134513487, 82928.00451953517, 83035.59917805137, 83250.4852130661, 83200.5630322812, 83173.12491825377, 83053.86421635852, 83180.56764247772, 82987.35127163149, 83133.16740928771, 83102.78620214984, 83529.8354140706, 83129.47811508144, 83112.43474308908, 83066.47946973355, 83202.0457983209, 82901.25783785098, 83145.35296889857, 83629.24215555872, 83683.31923437613, 83078.37726555567, 83051.10266222796, 83796.43172333238, 83045.70201841061, 82960.33428055915, 83348.36870718386, 82932.18653561326, 83157.78123430873, 83251.6846616875, 83161.63994354324, 83155.19959704616]"
11,"[10197.449320544103, 12637.532754612184, 12660.086148538678, 15947.492839850565, 16631.100354939903, 18266.612909062074, 17399.391790878843, 18495.128835983007, 18667.57957807574, 16982.241259906055, 16935.429393721774, 16832.039330724794, 16978.223005055035, 17057.758671986994, 17677.11950608254, 17297.644429497886, 17557.097927648683, 18824.175011478575, 17326.51865256529, 18653.114916568855, 17402.047920222372, 17318.27593149183, 17218.022156381034, 18549.453364675457, 18484.56826249163, 17686.60293084701, 17382.38216650815, 17120.323654400418, 17399.17954426045, 17343.399097570997, 17332.212041755825, 17329.249448453185, 18739.828872249847, 17157.03577002415, 17094.50799917589, 16957.304590937063, 16942.998144356992, 16944.275396911282, 16979.95921040255, 16877.190195611052, 17302.81712645822, 17146.23370045889, 17917.071213402858, 17654.67499705172, 17027.527819762872, 17760.103685029433, 18271.13181809525, 17651.09003132656, 16998.819093450533, 17658.642199693808]"
12,"[27470.13491175715, 35716.792200884374, 33587.661089235975, 35803.62312433157, 35881.687139166635, 35928.29887184645, 35905.185154777966, 35888.543530295385, 35930.85354718694, 35916.324231921666, 35922.96662264902, 35936.835180594484, 35912.60494272306, 35913.08108217224, 36607.31188195474, 35933.113708679215, 35937.56765845169, 35931.37939538002, 35930.5675983868, 35927.343787400474, 35921.02866882995, 35909.32735700246, 36134.36779046396, 35898.63488104317, 35913.34642350185, 35913.20890600186, 35905.65269740703, 35893.39939283686, 35892.73220258596, 36542.10898206632, 35934.7490674525, 35926.24158726919, 35927.430475878515, 35933.143056868954, 35926.98305799102, 35907.83693046674, 35927.99623752938, 36581.12502656644, 35930.35611373745, 35929.513326029366, 35922.99214552778, 35922.51323766277, 35930.7647078876, 35921.11039305173, 36441.61021956292, 35921.79448764982, 35935.137390843825, 36490.74801444514, 36062.343293376805, 35925.432580705485]"
13,"[11876.418223127068, 10885.472159607307, 11415.957721763145, 11468.10194220944, 11767.505780403255, 11996.295279604863, 12035.093761541299, 12358.701760888624, 12288.228477207362, 12399.290646586247, 12391.836952077836, 12582.421397097729, 12284.664776152102, 12377.342248438435, 12369.91232181179, 12309.8928844724, 14588.993727333596, 12381.487062268032, 12243.37988838894, 13011.890621278202, 12417.850875223332, 12345.638988873921, 12308.117709566737, 12417.665113442752, 14334.192704799236, 14029.592726780917, 14474.683624353682, 14307.974591962455, 12413.114544539843, 13806.634676701375, 12394.324557297732, 12372.524612187757, 12367.626867686442, 12346.323295049253, 12345.010696420606, 12324.781730274088, 13405.163554123807, 14568.251685699885, 12237.950131809761, 13810.316419238618, 12343.931028132429, 14162.441894184056, 12412.020441683693, 14350.363393308697, 12458.482302003613, 14237.081366704486, 14631.042139739424, 12797.685623139201, 14448.880774369318, 12380.815797115734]"
14,"[19338.43978588369, 23369.99588206356, 26797.258992936586, 26648.573773936863, 26934.44546922943, 26866.204671056214, 26978.58614056158, 26947.179930610808, 26968.633512842265, 26971.2434509617, 26999.615858358506, 27024.13204610256, 27119.78586059597, 26982.437640049116, 26960.731728754094, 26960.32442542322, 26937.143242902544, 27058.422841547377, 26944.54173666131, 27095.51041388364, 26980.638663364312, 27116.761805117676, 26994.45400265979, 26966.70232871832, 27072.064580118342, 27054.164370681858, 26983.402391125615, 27018.127913439348, 27140.518467924063, 26978.839809868718, 27073.768160371095, 27014.328521757052, 26979.303688472253, 27002.76135387086, 26972.062106849582, 26969.69614287828, 27157.056128727643, 27005.51926012119, 27071.812774490594, 26969.63523644363, 27162.97595457331, 26994.516994747035, 26984.770734723585, 26962.763372372487, 27235.057117902317, 26971.938890575526, 26952.64279643524, 27045.248573948476, 26991.432285029732, 26932.765995918176]"
15,"[60217.216984093015, 101652.10931148106, 104386.18757058133, 103071.71649512724, 102638.10161729791, 104097.5787329356, 102323.73653955426, 103925.09921655542, 101764.30482537585, 102526.8142010307, 102019.40556199575, 102063.91839031113, 103946.33980865713, 103250.54190640256, 103086.52786827635, 104512.1517667349, 102767.1096589106, 102567.58198228135, 104438.5613888434, 103874.9539790331, 103169.54234274675, 104381.05185403425, 103101.24570799386, 102790.85161932866, 104438.7935579989, 101938.89638086181, 104021.79130850715, 102485.47097108857, 102334.3440898151, 102163.14046446426, 101021.3767355351, 104415.88765172532, 103695.84709969902, 103608.6484448117, 103792.88667455252, 103456.95396513218, 103107.0894418403, 103799.60279943352, 102891.47737711831, 104288.03795655933, 103780.99611373898, 105188.58964799478, 104165.07787879655, 103339.79314781807, 103212.46534721169, 104321.1340579401, 103086.3508143407, 102737.84513402253, 104340.51939411875, 104420.93907274265]"
16,"[5536.036183331977, 6664.675185279353, 6896.753139926179, 7369.300537033399, 5937.822446942941, 9912.953765320759, 9352.242876957105, 10379.658070177291, 9043.88508841877, 9035.144093372117, 9022.151057421572, 8988.126298280651, 9015.452849788679, 9608.388938336422, 9226.351854304507, 9933.253055932342, 9035.41583259579, 9012.565286589146, 9354.570788875906, 9005.965235525131, 9002.616224132486, 9028.269296423008, 8978.446519654353, 8980.534287736722, 8983.531788185697, 9285.997970752367, 8985.364136560289, 10282.686203404839, 9579.346442446236, 10342.709420563078, 9211.796370560507, 9082.699444301026, 9536.920714931555, 9037.817166651213, 8999.737317464373, 9675.852846481663, 9041.168232884658, 9013.342654705775, 9006.687235135512, 8960.770048503517, 9474.276375496775, 8978.946372969294, 8972.814921606638, 9056.901038929711, 9012.377336044621, 8991.250767592908, 9393.958149803591, 9086.066324576866, 9037.08211625168, 9667.546415944104]"
17,"[10363.63375814633, 14791.072540725989, 17125.23276305529, 18194.633387501934, 17752.401678413822, 18055.35687049736, 17882.026897757503, 18193.91733827679, 19312.840814277442, 19035.060428215947, 18228.596304314575, 18167.81356416167, 18231.798915646432, 18243.303661342186, 18229.730026465055, 19402.785538542565, 19246.031224877457, 18225.149284286104, 18222.89029724938, 19563.65250824466, 18839.41073312235, 19064.997554323098, 18637.129549736463, 18235.823727207127, 18214.886230846736, 18225.56748732127, 19724.614377087477, 18544.980311167295, 18214.947925080458, 18228.584904549556, 18213.43446185904, 19390.79161263154, 18132.957796082716, 18239.33515185803, 18235.942317259178, 18224.262276952824, 19040.466833190687, 18227.02068896957, 18218.406554356712, 18204.84344433414, 18236.960141573625, 19172.07848577846, 18220.958559505496, 18210.481186034696, 19585.38146662472, 18216.39574596446, 19127.11879631334, 18209.73713787351, 19203.94521912065, 18233.62055509808]"
18,"[32367.063844863485, 28832.407378961798, 43941.86969065668, 43655.42174416747, 43976.74274627284, 44163.41080348591, 44278.87562478917, 44307.804570333625, 44203.223422302646, 44213.52901296539, 44219.805277318344, 44256.484527342924, 44206.135551516694, 44239.438697323494, 44276.264850499516, 44269.0606267914, 44275.41700432138, 44208.395399053974, 44194.66377449491, 44189.15803362195, 44188.258432728835, 44303.551078001416, 44296.18799034918, 44278.895364135795, 44272.37550245154, 44309.99204558511, 44318.9194692303, 44288.949809398066, 44277.5903375349, 44256.4711010648, 44243.764477691395, 44217.97927354333, 44204.32551194601, 44255.872509983164, 44210.43926411231, 44214.324976615, 44190.1772009487, 44302.69934276014, 44269.89204807613, 44247.152423253414, 44267.67884416616, 44244.279047338365, 44219.057106958426, 44274.84501720089, 44217.11919057093, 44167.48637514551, 44264.99250935638, 44316.3413122372, 44143.50142940978, 44281.63269238101]"
19,"[23148.298189521607, 23757.654622920614, 24329.984322278833, 24406.140938222838, 24587.256450779358, 25820.64023015889, 25784.605743698485, 26240.20804120417, 26515.44127920697, 26382.80296638415, 26469.431906469057, 26421.176718616152, 26458.461147061964, 26504.09641656457, 26406.406868631464, 26529.464365864813, 26447.117623375518, 26389.913446434155, 26442.988289488312, 26381.426512931605, 26375.907220089073, 26527.13540695446, 26515.225455451233, 26398.811132414143, 26413.597971159892, 26400.25998162615, 26377.671485129373, 26412.894678928365, 26374.1862441411, 26463.778438193804, 26500.219139499604, 26402.91884275942, 26371.34916491674, 26457.95840637191, 26483.949508643098, 26461.820355507858, 26334.871601685998, 26333.497287738093, 26519.84109442216, 26482.88007792103, 26414.625692252215, 26452.06767790844, 26474.224606154814, 26551.315737407902, 26524.56964225154, 26535.763840834254, 26487.784702218094, 26435.55088541381, 26370.65507415971, 26375.43758307511]"
20,"[37263.85744313133, 49748.45419310237, 47542.14392244094, 50527.122047717334, 51035.29424038454, 50561.87403097027, 60861.317949989985, 73217.15915767895, 60534.67147890158, 69519.62211851962, 66087.44476205256, 66843.47355584224, 77901.52277438837, 76034.6706323183, 77286.77110370906, 80997.49480048145, 78602.38881255448, 81184.7274835378, 76829.56852171756, 78453.95199426563, 77328.2322229587, 77962.28959465073, 76812.66201926983, 76717.63522926188, 76230.82737989945, 75679.36395371094, 74172.92955203174, 76162.20872505946, 75998.39952898148, 76427.72233156714, 75128.84847006347, 71456.87537681521, 73143.52801109158, 71242.4215667863, 72257.36873174965, 76442.91327530768, 70686.16784777713, 75086.9867802285, 78999.04977610425, 74044.53096823022, 71585.34883903555, 81247.06117961553, 77987.77148236634, 79774.27765187481, 75159.30974307697, 73121.59603334824, 81708.87327864431, 76511.35056267271, 72922.33026263065, 69843.2035139146]"
21,"[12026.476634403858, 13526.020414844366, 14427.181132873731, 15400.789570366644, 14995.699811469043, 14890.764983132824, 15393.953088849477, 14684.783816756346, 15126.972895866005, 14896.515438341856, 14516.3546745809, 14653.400934739424, 14731.43809973263, 15923.070822108835, 15361.179685187111, 15407.058864680243, 14773.550483991901, 14705.945764883407, 15423.4927484129, 15428.896618732768, 16128.706942989076, 15939.271149444547, 15920.208397387396, 15620.632368222265, 15444.783299913819, 15415.336782691586, 16099.236132794853, 15747.382807822767, 16329.904868631995, 15197.84513933739, 15090.415145434126, 15694.475624358078, 14872.991643405672, 15675.839763664037, 14812.628373269254, 14757.694746933434, 14744.770214776901, 14818.907632271366, 14732.659955447984, 14644.094863239508, 14745.85046536602, 14613.073736648555, 15555.827028871026, 15021.409329089001, 14834.946947986617, 14820.013750289385, 15458.918740688649, 16270.248685265593, 15136.459813774462, 14762.223803575063]"
22,"[15019.813795491122, 17199.76390144961, 16393.388130114385, 16747.529635421393, 17674.64191491106, 17418.621588003676, 17691.925512238653, 18351.39956179903, 18955.77237793812, 18342.27833253813, 18682.164488887793, 18361.745277664, 18684.11193719924, 18745.54611454632, 18967.38845724972, 18916.397092991712, 18801.925308318794, 18547.04091051733, 18026.019383596824, 18710.83752838736, 18763.791078770853, 18940.314462588576, 18577.83606003251, 18673.370039019603, 17880.06485486828, 18235.393814293013, 18770.101240964475, 18715.3436163226, 18630.609197659825, 18776.6348850622, 18870.788047885857, 18570.025888542834, 18970.465982800655, 18463.75012042634, 18414.531896359156, 18412.34282202131, 18842.73634619289, 18579.952785868023, 18931.12008611868, 18625.80357236456, 18429.572551007775, 18635.179247992535, 18962.257683412405, 18756.55394144627, 18351.30261156622, 18532.067843866345, 18792.13708833506, 18771.414655816086, 18466.301139364456, 18974.689642013167]"
23,"[18927.340226497516, 22479.0285926363, 24196.861088428937, 24200.22692034587, 24214.56632215035, 24947.601067168478, 24604.43197795686, 24219.57681567516, 24215.9402611424, 24237.431513666088, 24226.548438115497, 24222.62218950229, 26352.273619147265, 24227.217073955966, 26163.44186938797, 24223.875713046582, 24219.332437080287, 24231.967266771622, 24227.975272029318, 26619.494657688483, 24751.760241489974, 24936.40324498521, 24238.425661764122, 26329.86799197062, 26516.125339179707, 24221.764330672086, 24220.803811398233, 24232.972280806876, 24229.442373573867, 24220.451104617896, 24216.64282615394, 26285.87560322693, 25999.387190881098, 24232.24942726316, 24233.607694275837, 24222.233386431602, 24224.70116128774, 26605.813200652803, 24241.271148661574, 24235.083511471938, 24227.01343620129, 24222.404959788226, 25394.697121787496, 24222.28207880807, 26397.091129541033, 24229.770733677346, 24220.625397675583, 24220.142389225715, 24219.195360469108, 24217.542070639785]"
24,"[11869.81773471109, 13382.595700225633, 14543.333839077692, 17832.66259423284, 17211.676193025545, 16672.131092443742, 17053.11719406578, 16845.088094840074, 16824.449920509956, 16621.366725168307, 17064.685464865324, 16921.141778836492, 16595.895250864225, 18960.540921195003, 18893.654436250712, 17874.860314448684, 17119.28106976689, 17058.7964710323, 17053.917581401896, 16972.44408849573, 16904.883198699667, 17115.42444283054, 17043.183631505075, 17086.040148848115, 16991.313705797234, 17143.258591855367, 17140.336437198843, 17102.10527414127, 16976.706138259586, 16950.585819837215, 18831.933362271564, 17177.076397266763, 17087.21832898601, 19056.138433652988, 17135.174142663644, 17023.41093581736, 17109.666689181453, 17092.63605268892, 17982.634996449633, 18148.037853417976, 17826.886059035838, 18125.727966974082, 18682.86854607782, 18734.850936607487, 18559.814103739758, 19000.699536216533, 18946.22639724135, 18856.354807443917, 18770.01920437427, 18797.89381799467]"
25,"[66585.77062336967, 68703.89086395828, 49589.93668002437, 50669.92701910739, 50337.77405646234, 53236.858109024004, 56647.545230359305, 55083.704846908746, 57116.34658918908, 56235.49886644166, 55764.808476558304, 54851.44806534576, 56045.52826237719, 54487.84017188387, 53955.859311055276, 54413.791652920714, 53780.39332051313, 54202.603759670106, 54463.24504722905, 54863.39006388653, 54562.746427550155, 58113.95137818222, 55713.37463832251, 55217.83942908497, 54379.93774150894, 53912.626561656885, 55793.8877750517, 55651.65116326144, 57897.43875876069, 54848.935912661254, 53712.84862232505, 54919.261922982, 54694.40011817688, 53472.91624309006, 55770.447848809476, 55887.04365177109, 54635.03024245158, 55169.31723908009, 54353.68690934335, 54121.053476169414, 55972.26806464925, 57104.90640808252, 53623.47557678685, 55099.330008655146, 52316.81548000156, 52658.55718875653, 55442.28125047946, 53194.0208312145, 55642.80610140308, 57949.933441172005]"
26,"[10743.360407225111, 15389.35522581992, 15460.396426619525, 15480.47204571838, 15483.2001854638, 15467.890338049321, 15514.061685261266, 15516.15324327191, 15509.882965280856, 16516.62051671766, 16641.527925360708, 17828.259372307308, 16643.46170043823, 16142.806654543056, 16469.32195277675, 15769.941268465183, 15548.756580193709, 18280.74263306147, 16579.284709217784, 17100.224161216953, 17002.620915539403, 16651.03439836794, 16756.726387631286, 16685.065811847577, 16688.049272334676, 16702.337935649688, 16681.2082847919, 16730.2798930063, 16727.46490811457, 16705.379158232616, 16890.603770865666, 16695.617776466162, 16753.75457492887, 16709.373452762222, 16703.818875336663, 16917.559875277046, 16713.413199569586, 16872.030500741486, 16698.612154154456, 16674.756422974613, 16672.641735936522, 16656.841033274693, 17119.637673268277, 16693.266979323824, 16932.167640864493, 18427.400161965663, 17273.839108164233, 17910.026134439482, 17643.76336455524, 17001.37349350373]"
27,"[18442.91933981942, 20808.028657181567, 21623.0329300983, 21545.58368929928, 23165.290899360713, 21601.80720588233, 21560.609485982568, 21627.685340789627, 21559.396156771996, 21616.393396628322, 21589.791898923795, 21628.845798918162, 22872.69314817054, 22267.17771089026, 21615.295691269275, 21592.119771164973, 21577.545369867425, 21625.747032812564, 23239.86894194463, 21623.784148945473, 21617.743054776423, 21623.908329035257, 21618.10447685285, 21599.21087263034, 21616.45085811145, 21629.091918128164, 21600.61774655705, 21628.54509552401, 21563.097940367326, 21605.43727528538, 23104.23523451302, 22017.782324633503, 21614.28173704796, 21620.633872173654, 22910.635816025664, 22304.297075889408, 23206.576437786745, 21628.420532086544, 21616.015740634524, 21590.265630170863, 21603.384076742062, 21601.3373191048, 22759.03671503745, 21607.29299570991, 21599.406806558385, 21597.345117730045, 21584.73624386803, 21602.09539482328, 21601.382892861016, 23048.65403421459]"
